UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
1704,78912316563,789123,298.1,307.8,1636,36.7,51,0,0
1705,78912316564,789123,298.1,307.8,1503,44.7,54,0,0
1706,78912316565,789123,298.1,307.8,1608,32.6,57,0,0
1707,65432148886,654321,298.2,307.8,1521,42.9,60,0,0
1708,65432148887,654321,298.2,307.8,1439,41.6,62,0,0
1709,65432148888,654321,298.2,307.8,1627,31.5,64,0,0
1710,65432148889,654321,298.2,307.8,1749,26.1,66,0,0
1711,65432148890,654321,298.2,307.8,1530,35.9,68,0,0
1712,65432148891,654321,298.2,307.8,1355,51.3,70,0,0
1713,65432148892,654321,298.3,307.9,1551,33.8,72,0,0
1714,65432148893,654321,298.2,307.8,1515,46.7,74,0,0
1715,65432148894,654321,298.2,307.8,1388,48.6,76,0,0
1716,65432148895,654321,298.2,307.8,1585,34.6,78,0,0
1717,65432148896,654321,298.1,307.7,1523,37.7,80,0,0
1718,65432148897,654321,298.2,307.6,1369,54.5,82,0,0
1719,78912316578,789123,298.2,307.7,1681,31,84,0,0
1720,65432148899,654321,298.2,307.7,1503,38.3,87,0,0
1721,65432148900,654321,298.2,307.7,1459,44.5,89,0,0
1722,65432148901,654321,298.2,307.7,1688,32.4,91,0,0
1723,78912316582,789123,298.2,307.7,1952,21.6,93,0,0
1724,65432148903,654321,298.2,307.8,2029,19.9,96,0,0
1725,78912316584,789123,298.3,307.8,1457,52.5,98,0,0
1726,78912316585,789123,298.3,307.8,1392,50.4,101,0,0
1727,65432148906,654321,298.3,307.8,1906,22.1,104,0,0
1728,78912316587,789123,298.3,307.7,1602,33.4,106,0,0
1729,65432148908,654321,298.3,307.7,1465,49.4,109,0,0
1730,78912316589,789123,298.3,307.7,1439,43.8,111,0,0
1731,78912316590,789123,298.3,307.8,1330,55.4,114,0,0
1732,78912316591,789123,298.3,307.9,1485,42,117,0,0
1733,12345631146,123456,298.4,307.9,1700,28.2,120,0,0
1734,65432148913,654321,298.4,308,1515,42.8,125,0,0
1735,78912316594,789123,298.5,308.1,1501,39.2,127,0,0
1736,65432148915,654321,298.4,308,1380,47.6,130,0,0
1737,65432148916,654321,298.4,307.9,1544,35.9,132,0,0
1738,65432148917,654321,298.4,307.9,1743,27.3,134,0,0
1739,12345631152,123456,298.4,307.9,1948,21.4,136,0,0
1740,12345631153,123456,298.5,307.9,1260,54.2,141,0,0
1741,78912316600,789123,298.5,307.9,1640,33.1,146,0,0
1742,78912316601,789123,298.5,308,1363,49.2,149,0,0
1743,65432148922,654321,298.5,308,1379,49.6,152,0,0
1744,78912316603,789123,298.5,308,1713,25.8,154,0,0
1745,78912316604,789123,298.5,308,1461,51.9,157,0,0
1746,65432148925,654321,298.5,308,1624,29.8,160,0,0
1747,65432148926,654321,298.4,308,1526,41.1,162,0,0
1748,65432148927,654321,298.4,307.9,2381,14.2,164,0,0
1749,12345631162,123456,298.4,307.7,1626,31.1,166,0,4
1750,65432148929,654321,298.3,307.7,1576,33.8,171,0,0
1751,78912316610,789123,298.4,307.8,1617,31.6,173,0,0
1752,65432148931,654321,298.3,307.6,1942,20.6,176,0,0
1753,65432148932,654321,298.2,307.6,1492,37.2,178,0,0
1754,65432148933,654321,298.2,307.5,1470,51.3,180,0,0
1755,78912316614,789123,298,307.4,1463,46.5,182,0,0
1756,65432148935,654321,298,307.3,1424,46.5,185,0,0
1757,78912316616,789123,298.1,307.4,1363,60.1,187,0,0
1758,78912316617,789123,298.1,307.4,1335,56.2,190,0,0
1759,65432148938,654321,298.1,307.4,1608,33.9,193,0,0
1760,12345631173,123456,298,307.4,1606,35.2,195,0,0
1761,65432148940,654321,298.1,307.5,1684,33.1,200,0,0
1762,65432148941,654321,298.1,307.6,1950,20.3,202,0,0
1763,12345631176,123456,298.2,307.6,1460,48.6,204,0,0
1764,65432148943,654321,298.2,307.6,1511,31,209,1,3
1765,12345631178,123456,298.2,307.6,1318,55.7,0,0,0
1766,65432148945,654321,298.2,307.6,1368,51.8,5,0,0
1767,78912316626,789123,298.3,307.7,1717,27.1,7,0,0
1768,78912316627,789123,298.3,307.7,1520,41.4,10,0,0
1769,78912316628,789123,298.3,307.8,1485,42,13,0,0
1770,65432148949,654321,298.4,307.9,1981,23.2,16,0,0
1771,12345631184,123456,298.4,307.9,1605,31,18,0,0
1772,65432148951,654321,298.4,307.9,1446,45.3,23,0,0
1773,65432148952,654321,298.4,308,1508,47.9,25,0,0
1774,65432148953,654321,298.5,308,1384,59.5,27,0,0
1775,78912316634,789123,298.5,308,1519,37.3,29,0,0
1776,65432148955,654321,298.5,308,1404,48.1,32,0,0
1777,65432148956,654321,298.5,308.1,1564,31.1,34,0,0
1778,12345631191,123456,298.6,308.2,1555,36.8,36,0,0
1779,65432148958,654321,298.6,308.2,1325,54,41,0,0
1780,78912316639,789123,298.6,308.2,1488,44,43,0,0
1781,65432148960,654321,298.5,308.2,1595,32.3,46,0,0
1782,65432148961,654321,298.5,308.1,1662,28.6,48,0,0
1783,65432148962,654321,298.4,308,1571,37.4,50,0,0
1784,12345631197,123456,298.3,308,1553,41,52,0,0
1785,65432148964,654321,298.3,308,2886,3.8,57,1,1
1786,65432148965,654321,298.2,308,1538,38.2,59,0,0
1787,65432148966,654321,298.4,308.2,1618,33,61,0,0
1788,65432148967,654321,298.4,308.2,1364,45.9,63,0,0
1789,65432148968,654321,298.3,308,1442,47.3,65,0,0
1790,65432148969,654321,298.2,307.9,1313,67.3,67,1,1
1791,65432148970,654321,298.2,307.9,1847,23.6,69,0,0
1792,65432148971,654321,298.1,307.8,1524,40.8,71,0,0
1793,78912316652,789123,298.1,307.7,1445,48,73,0,0
1794,65432148973,654321,298.1,307.8,1761,28.2,76,0,0
1795,78912316654,789123,298.1,307.8,1514,43.5,78,0,0
1796,78912316655,789123,298.1,307.7,1498,38.3,81,0,0
1797,12345631210,123456,298.1,307.6,1542,37.1,84,0,0
1798,78912316657,789123,298,307.6,1508,41.8,89,0,0
1799,78912316658,789123,298,307.5,1431,52.9,92,0,0
1800,78912316659,789123,298,307.5,1427,45.1,95,0,0
1801,78912316660,789123,298,307.5,1524,36.3,98,0,0
1802,78912316661,789123,298,307.5,1427,43.6,101,0,0
1803,12345631216,123456,298.1,307.6,1496,44.1,104,0,0
1804,65432148983,654321,298.1,307.7,1388,40.3,109,0,0
1805,65432148984,654321,298.1,307.7,1495,48.1,111,0,0
1806,12345631219,123456,298.1,307.7,1376,56.2,113,0,0
1807,12345631220,123456,298,307.6,1593,32.2,118,0,0
1808,65432148987,654321,298,307.6,1654,28.9,123,0,0
1809,65432148988,654321,298.1,307.7,2567,12.8,125,1,1
1810,65432148989,654321,298.1,307.7,1767,27,127,0,0
1811,65432148990,654321,298.1,307.6,1364,53.8,129,0,0
1812,78912316671,789123,298.1,307.8,1569,31.2,131,0,0
1813,65432148992,654321,298.2,307.8,1476,36.8,134,0,0
1814,65432148993,654321,298.1,307.7,1479,45,136,0,0
1815,65432148994,654321,298.1,307.7,1650,34.1,138,0,0
1816,78912316675,789123,298.1,307.6,1565,36.3,140,0,0
1817,65432148996,654321,298.1,307.6,1460,46.5,143,0,0
1818,65432148997,654321,298.1,307.7,1664,27.6,145,0,0
1819,78912316678,789123,298.1,307.7,1435,40.9,147,0,0
1820,78912316679,789123,298.1,307.6,2066,19.2,150,0,0
1821,65432149000,654321,298.1,307.5,1493,43.7,153,0,0
1822,65432149001,654321,298.1,307.6,1354,43.3,155,0,0
1823,65432149002,654321,298.1,307.6,1488,39.4,157,0,0
1824,65432149003,654321,298.1,307.7,1414,48.7,159,0,0
1825,65432149004,654321,298.1,307.5,1391,57.4,161,0,0
1826,78912316685,789123,298,307.5,1784,27.8,163,0,0
1827,12345631240,123456,297.8,307.3,1516,40.1,166,0,0
1828,78912316687,789123,297.9,307.3,1420,47.8,171,0,0
1829,65432149008,654321,297.8,307.2,1351,56.3,174,0,0
1830,65432149009,654321,297.8,307.2,1880,23,176,0,0
1831,65432149010,654321,297.8,307.3,1859,24,178,0,0
1832,78912316691,789123,297.8,307.3,1315,54,180,0,0
1833,78912316692,789123,297.8,307.4,1330,51.7,183,0,0
1834,65432149013,654321,297.8,307.3,1327,61,186,1,2
1835,65432149014,654321,297.8,307.2,1498,38.1,188,0,0
1836,12345631249,123456,297.8,307.3,1555,35.8,190,0,0
1837,65432149016,654321,297.7,307.2,1518,35.8,195,0,0
1838,65432149017,654321,297.7,307.2,1392,43,197,0,0
1839,78912316698,789123,297.8,307.2,1456,39.6,199,0,0
1840,65432149019,654321,297.7,307.1,1715,30.2,0,0,0
1841,78912316700,789123,297.7,307.2,1405,43.7,2,0,0
1842,65432149021,654321,297.7,307.2,1668,37.8,5,0,0
1843,12345631256,123456,297.7,307.1,1855,22.5,7,0,0
1844,65432149023,654321,297.6,307.1,1496,39.2,12,0,0
1845,78912316704,789123,297.6,307.1,1471,44.9,14,0,0
1846,65432149025,654321,297.7,307.2,1444,40,17,0,0
1847,12345631260,123456,297.7,307.3,1514,38.6,19,0,0
1848,65432149027,654321,297.8,307.3,1412,50.7,24,0,0
1849,12345631262,123456,297.7,307.2,1429,44.1,26,0,0
1850,65432149029,654321,297.7,307.2,1668,32.7,31,0,0
1851,78912316710,789123,297.7,307.2,1372,52.8,33,0,0
1852,78912316711,789123,297.7,307.3,1365,49.2,36,0,0
1853,78912316712,789123,297.6,307.1,1526,39.1,39,0,0
1854,65432149033,654321,297.6,307.2,1486,40.6,42,0,0
1855,78912316714,789123,297.6,307.2,1470,42.6,44,0,0
1856,12345631269,123456,297.7,307.3,1249,62.8,47,0,0
1857,78912316716,789123,297.8,307.4,1752,26.1,52,0,0
1858,65432149037,654321,297.7,307.4,1643,36.5,55,0,0
1859,78912316718,789123,297.8,307.4,1488,36.1,57,0,0
1860,65432149039,654321,297.8,307.4,1355,45.8,60,0,0
1861,65432149040,654321,297.8,307.6,1607,30.3,62,0,0
1862,78912316721,789123,297.9,307.6,1609,30.3,64,0,0
1863,65432149042,654321,297.9,307.7,1517,44.4,67,0,0
1864,78912316723,789123,297.9,307.7,1517,39.5,69,0,0
1865,65432149044,654321,297.9,307.7,1546,37.6,72,0,0
1866,65432149045,654321,297.9,307.7,1567,34.7,74,0,0
1867,78912316726,789123,298.1,307.9,1662,28.9,76,0,0
1868,65432149047,654321,298.1,307.9,1502,41.8,79,0,0
1869,65432149048,654321,298.3,308,1361,56.9,81,0,0
1870,78912316729,789123,298.3,308.1,1630,32.7,83,0,0
1871,65432149050,654321,298.3,308,1486,42.3,86,0,0
1872,65432149051,654321,298.3,308.1,1840,21.5,88,0,0
1873,65432149052,654321,298.3,308.1,1326,58.4,90,0,0
1874,65432149053,654321,298.4,308.1,1367,57.8,92,0,0
1875,65432149054,654321,298.4,308.1,1598,32.7,94,0,0
1876,65432149055,654321,298.3,308,1363,50.1,96,0,0
1877,65432149056,654321,298.3,308,1242,62,98,0,0
1878,78912316737,789123,298.2,307.8,1566,33.8,100,0,0
1879,78912316738,789123,298.1,307.7,1424,47.7,103,0,0
1880,78912316739,789123,298.2,307.7,1608,33.8,106,0,0
1881,65432149060,654321,298.1,307.7,1705,29.1,109,0,0
1882,65432149061,654321,298,307.6,1548,45.8,111,0,0
1883,78912316742,789123,298,307.6,1581,43.4,113,0,0
1884,78912316743,789123,298,307.6,1472,46.7,116,0,0
1885,78912316744,789123,298,307.6,1792,26,119,0,0
1886,65432149065,654321,298,307.6,1683,32.8,122,0,0
1887,65432149066,654321,297.9,307.6,1503,40.7,124,0,0
1888,78912316747,789123,297.9,307.5,1642,32.4,126,0,0
1889,78912316748,789123,297.8,307.4,1902,24.3,129,0,0
1890,12345631303,123456,297.7,307.4,1432,40.2,132,0,0
1891,65432149070,654321,297.8,307.4,1512,40.8,137,0,0
1892,65432149071,654321,297.7,307.4,1764,29,139,0,0
1893,78912316752,789123,297.8,307.4,1438,43.6,141,0,0
1894,65432149073,654321,297.8,307.5,1631,29.9,144,0,0
1895,12345631308,123456,297.9,307.5,1880,23.3,146,0,0
1896,65432149075,654321,297.9,307.6,1344,54.3,151,0,0
1897,65432149076,654321,297.9,307.5,1574,35.8,153,0,0
1898,65432149077,654321,297.8,307.4,1418,41.2,155,0,0
1899,65432149078,654321,297.8,307.5,1372,54.1,157,0,0
1900,65432149079,654321,297.8,307.5,1388,40,159,0,0
1901,12345631314,123456,297.9,307.6,1493,36,161,0,0
1902,78912316761,789123,297.9,307.6,1505,40.1,166,0,0
1903,65432149082,654321,298,307.6,1694,29.1,169,0,0
1904,65432149083,654321,297.9,307.6,1968,20.4,171,0,0
1905,78912316764,789123,298,307.6,1569,35.6,173,0,0
1906,65432149085,654321,297.9,307.6,1687,29.1,176,0,0
1907,65432149086,654321,297.9,307.6,1430,52.4,178,0,0
1908,65432149087,654321,297.9,307.6,1504,42.4,180,0,0
1909,65432149088,654321,297.9,307.6,1977,20.2,182,0,0
1910,65432149089,654321,298,307.7,1435,45.6,184,0,0
1911,12345631324,123456,298,307.7,1547,36.8,186,0,0
1912,78912316771,789123,298.1,307.8,1316,57.2,191,0,0
1913,78912316772,789123,298,307.7,1621,34.9,194,0,0
1914,78912316773,789123,298,307.8,1492,40.2,197,0,0
1915,65432149094,654321,298,307.7,1643,32.3,200,0,0
1916,65432149095,654321,298,307.7,1492,38.7,202,0,0
1917,65432149096,654321,298,307.7,1387,50.8,204,0,0
1918,78912316777,789123,298.1,307.9,1463,47.3,206,0,0
1919,78912316778,789123,298.1,307.9,1496,40,0,0,0
1920,65432149099,654321,298.2,308,1658,30,3,0,0
1921,65432149100,654321,298.1,307.9,2161,17.5,5,0,0
1922,65432149101,654321,298.1,307.9,1665,32,7,0,0
1923,65432149102,654321,298,307.8,1716,26.6,9,0,0
1924,65432149103,654321,298,307.7,1529,34.1,11,0,0
1925,65432149104,654321,297.9,307.7,1353,50.7,13,0,0
1926,65432149105,654321,297.9,307.7,1537,37.7,15,0,0
1927,65432149106,654321,298,307.7,1606,30.8,17,0,0
1928,12345631341,123456,298,307.8,1314,47.8,19,0,0
1929,65432149108,654321,298,307.8,1623,29.9,24,0,0
1930,78912316789,789123,298,307.8,1483,50.9,26,0,0
1931,78912316790,789123,298.1,307.9,1569,37,29,0,0
1932,78912316791,789123,298.2,308,1969,21.7,32,0,0
1933,78912316792,789123,298.1,308,1686,29.3,35,0,0
1934,65432149113,654321,298.1,308,1638,35.1,38,0,0
1935,65432149114,654321,298.1,307.9,1698,33.3,40,0,0
1936,78912316795,789123,298.1,307.9,1377,55.1,42,0,0
1937,78912316796,789123,298.1,308,2129,18.4,45,0,0
1938,65432149117,654321,298.2,308,1411,42.4,48,0,0
1939,65432149118,654321,298.1,307.9,1517,40.8,50,0,0
1940,78912316799,789123,298.1,307.9,1303,53.9,52,0,0
1941,65432149120,654321,298.1,307.9,1578,35.6,55,0,0
1942,65432149121,654321,298.1,307.9,1425,58.2,57,0,0
1943,65432149122,654321,298.1,308,1456,42.4,59,0,0
1944,65432149123,654321,298.1,308,1704,30.9,61,0,0
1945,65432149124,654321,298.1,308.1,1791,27.3,63,0,0
1946,65432149125,654321,298.1,308.1,1616,32.8,65,0,0
1947,65432149126,654321,298.2,308.1,1622,34.9,67,0,0
1948,65432149127,654321,298.2,308.1,1462,49.9,69,0,0
1949,65432149128,654321,298.1,308.1,1410,45.8,71,0,0
1950,78912316809,789123,298.1,308,1543,41.9,73,0,0
1951,78912316810,789123,298,307.9,1479,47.6,76,0,0
1952,65432149131,654321,298,307.8,1839,22.7,79,0,0
1953,65432149132,654321,298,307.8,1266,60.5,81,0,0
1954,65432149133,654321,297.9,307.7,1593,34.9,83,0,0
1955,65432149134,654321,297.9,307.8,1459,46.9,85,0,0
1956,65432149135,654321,297.9,307.7,1308,55.2,87,0,0
1957,78912316816,789123,297.9,307.7,1364,46.8,89,0,0
1958,12345631371,123456,297.9,307.7,1618,35.9,92,0,0
1959,12345631372,123456,297.9,307.7,1464,43.2,97,0,0
1960,78912316819,789123,297.8,307.6,1352,49.4,102,0,0
1961,65432149140,654321,297.8,307.6,1446,51.4,105,0,0
1962,65432149141,654321,297.8,307.5,1448,51.2,107,0,0
1963,65432149142,654321,297.8,307.5,1391,48.6,109,0,0
1964,65432149143,654321,297.7,307.5,1379,43.3,111,0,0
1965,78912316824,789123,297.8,307.5,1405,46.9,113,0,0
1966,65432149145,654321,297.8,307.5,1581,33.1,116,0,0
1967,65432149146,654321,297.9,307.6,1515,40.5,118,0,0
1968,65432149147,654321,297.9,307.6,1589,37.8,120,0,0
1969,65432149148,654321,298,307.6,1281,50.8,122,0,0
1970,12345631383,123456,297.8,307.5,1631,31.3,124,0,0
1971,78912316830,789123,297.9,307.6,1202,67,129,0,0
1972,65432149151,654321,297.9,307.6,1298,52.7,132,0,0
1973,65432149152,654321,297.9,307.6,1612,30.7,134,0,0
1974,65432149153,654321,297.9,307.6,1747,25.3,136,0,0
1975,65432149154,654321,298,307.6,1450,48.7,138,0,0
1976,65432149155,654321,298,307.7,1422,45.6,140,0,0
1977,78912316836,789123,298.1,307.7,1419,47.4,142,0,0
1978,78912316837,789123,298.1,307.7,1633,30.7,145,0,0
1979,65432149158,654321,298,307.7,1442,43.6,148,0,0
1980,12345631393,123456,298,307.6,1420,45.8,150,0,0
1981,78912316840,789123,298,307.6,1301,58.5,155,0,0
1982,65432149161,654321,298,307.6,1385,45,158,0,0
1983,78912316842,789123,298,307.7,1487,41.3,160,0,0
1984,78912316843,789123,298,307.6,1459,44.4,163,0,0
1985,78912316844,789123,298,307.5,1387,45.5,166,0,0
1986,65432149165,654321,298.1,307.7,1537,40.8,169,0,0
1987,65432149166,654321,298.1,307.6,1498,42.9,171,0,0
1988,78912316847,789123,298.2,307.8,1599,31.2,173,0,0
1989,12345631402,123456,298.3,307.9,1420,39.2,176,0,0
1990,65432149169,654321,298.2,307.9,1785,23.4,181,0,0
1991,65432149170,654321,298.2,307.8,1423,48.1,183,0,0
1992,78912316851,789123,298.2,307.8,1583,36.6,185,0,0
1993,65432149172,654321,298.2,307.8,1375,46.6,188,0,0
1994,78912316853,789123,298.3,308,1463,42.5,190,0,0
1995,78912316854,789123,298.2,307.9,1403,45.1,193,0,0
1996,65432149175,654321,298.3,308,1451,47.1,196,0,0
1997,78912316856,789123,298.4,308,1416,38.2,198,1,3
1998,65432149177,654321,298.3,308.1,1672,41.3,0,0,0
1999,12345631412,123456,298.3,308,1637,30.8,2,0,0
2000,65432149179,654321,298.4,308,1540,37.8,7,0,0
2001,65432149180,654321,298.4,308.1,1279,53.1,9,0,0
2002,65432149181,654321,298.4,308.2,1604,34.9,11,0,0
2003,65432149182,654321,298.5,308.2,1654,27.1,13,0,0
2004,78912316863,789123,298.5,308.2,1564,37.5,15,0,0
2005,65432149184,654321,298.5,308.2,1451,47.5,18,0,0
2006,65432149185,654321,298.5,308.3,1504,38,20,0,0
2007,78912316866,789123,298.5,308.3,1381,50.5,22,0,0
2008,65432149187,654321,298.6,308.4,1562,34.4,25,0,0
2009,65432149188,654321,298.5,308.3,1811,24.7,27,0,0
2010,78912316869,789123,298.6,308.3,1717,28.7,29,0,0
2011,65432149190,654321,298.6,308.3,1278,60.5,32,0,0
2012,65432149191,654321,298.7,308.5,1616,30.2,34,0,0
2013,65432149192,654321,298.6,308.4,1397,46.4,36,0,0
2014,65432149193,654321,298.6,308.4,1485,42.9,38,0,0
2015,65432149194,654321,298.6,308.4,1310,59.7,40,0,0
2016,65432149195,654321,298.5,308.2,1301,66.3,42,1,1
2017,65432149196,654321,298.5,308.3,1458,44,44,0,0
2018,65432149197,654321,298.7,308.5,1483,42.5,46,0,0
2019,65432149198,654321,298.7,308.5,1375,46.4,48,0,0
2020,78912316879,789123,298.7,308.5,1660,27,50,0,0
2021,12345631434,123456,298.7,308.4,1560,33.3,53,0,0
2022,65432149201,654321,298.7,308.5,1480,42.2,58,0,0
2023,65432149202,654321,298.7,308.4,1373,46.9,60,0,0
2024,65432149203,654321,298.7,308.5,1444,54.2,62,0,0
2025,78912316884,789123,298.7,308.6,1722,24.7,64,0,0
2026,65432149205,654321,298.7,308.5,1469,39.9,67,0,0
2027,78912316886,789123,298.7,308.5,1360,52.9,69,0,0
2028,65432149207,654321,298.7,308.4,1750,25.8,72,0,0
2029,78912316888,789123,298.7,308.3,1349,46.6,74,0,0
2030,65432149209,654321,298.7,308.5,1668,35.2,77,0,0
2031,65432149210,654321,298.9,308.6,1400,49.5,79,0,0
2032,65432149211,654321,298.8,308.6,1331,62.8,81,0,0
2033,65432149212,654321,298.8,308.5,1444,42.2,83,0,0
2034,12345631447,123456,298.8,308.5,1359,47.6,85,0,0
2035,78912316894,789123,298.8,308.5,1425,47.4,90,0,0
2036,78912316895,789123,298.9,308.6,1469,34.2,93,0,0
2037,65432149216,654321,299,308.7,1892,22.8,96,0,0
2038,12345631451,123456,299,308.7,1940,19.9,98,0,0
2039,65432149218,654321,299,308.8,1405,55.2,103,0,0
2040,78912316899,789123,299,308.9,1449,39.6,105,0,0
2041,65432149220,654321,299.1,308.9,1686,29.6,108,0,0
2042,65432149221,654321,299.1,308.9,1680,27.2,110,0,0
2043,78912316902,789123,299.1,308.9,1397,52.4,112,0,0
2044,78912316903,789123,299.2,309,1597,30.3,115,0,0
2045,65432149224,654321,299.3,309.1,1470,41.1,118,0,0
2046,78912316905,789123,299.3,309.1,1703,31.3,120,0,0
2047,65432149226,654321,299.3,309.1,1388,45.5,123,0,0
2048,65432149227,654321,299.3,309.2,1775,24.2,125,0,0
2049,65432149228,654321,299.3,309.2,1465,41.5,127,0,0
2050,78912316909,789123,299.3,309.2,1586,37.9,129,0,0
2051,78912316910,789123,299.5,309.3,1675,29.2,132,0,0
2052,78912316911,789123,299.4,309.2,1470,44.4,135,0,0
2053,65432149232,654321,299.5,309.3,1477,40.4,138,0,0
2054,65432149233,654321,299.5,309.3,1382,61,140,0,0
2055,78912316914,789123,299.6,309.4,1605,29.8,142,0,0
2056,65432149235,654321,299.6,309.4,1643,32.9,145,0,0
2057,65432149236,654321,299.5,309.3,1333,54.1,147,0,0
2058,65432149237,654321,299.5,309.3,1520,42.3,149,0,0
2059,78912316918,789123,299.5,309.3,1902,24,151,0,0
2060,12345631473,123456,299.5,309.4,1386,44.4,154,0,0
2061,65432149240,654321,299.6,309.5,1803,27.7,159,0,0
2062,65432149241,654321,299.7,309.6,1359,50.7,161,0,0
2063,78912316922,789123,299.7,309.6,1477,42.7,163,0,0
2064,65432149243,654321,299.7,309.6,1321,53.4,166,0,0
2065,65432149244,654321,299.6,309.5,1453,41.4,168,0,0
2066,65432149245,654321,299.7,309.6,1419,45.1,170,0,0
2067,65432149246,654321,299.7,309.6,1512,36.2,172,0,0
2068,65432149247,654321,299.7,309.6,1553,36.8,174,0,0
2069,78912316928,789123,299.7,309.6,1534,39.1,176,0,0
2070,12345631483,123456,299.7,309.6,1553,41,179,0,0
2071,65432149250,654321,299.7,309.5,1352,49.7,184,0,0
2072,78912316931,789123,299.7,309.6,1313,60,186,0,0
2073,65432149252,654321,299.6,309.5,1570,35.5,189,0,4
2074,65432149253,654321,299.6,309.4,1677,31.1,191,0,0
2075,65432149254,654321,299.5,309.4,1602,31.5,193,0,0
2076,65432149255,654321,299.5,309.4,1390,58.8,195,1,2
2077,65432149256,654321,299.4,309.3,1544,36,197,0,0
2078,65432149257,654321,299.4,309.4,1701,31.2,199,0,0
2079,78912316938,789123,299.4,309.3,1692,28.4,201,0,0
2080,78912316939,789123,299.3,309.3,1523,37.9,204,0,0
2081,65432149260,654321,299.3,309.2,2280,15.4,207,0,0
2082,78912316941,789123,299.4,309.3,1485,47.1,209,0,0
2083,12345631496,123456,299.4,309.2,1513,36.1,212,0,0
2084,12345631497,123456,299.4,309.3,1743,28.2,0,0,0
2085,65432149264,654321,299.5,309.3,1442,46.2,5,0,0
2086,65432149265,654321,299.5,309.3,1462,46.7,7,0,0
2087,12345631500,123456,299.4,309.3,1439,49.7,9,0,0
2088,65432149267,654321,299.5,309.3,1577,36.6,14,0,0
2089,65432149268,654321,299.6,309.4,1331,46.4,16,0,0
2090,65432149269,654321,299.5,309.3,1941,22.5,18,0,0
2091,65432149270,654321,299.5,309.2,1393,47.3,20,0,0
2092,65432149271,654321,299.4,309.2,1433,42.1,22,0,0
2093,65432149272,654321,299.4,309.2,1444,48.2,24,0,0
2094,65432149273,654321,299.4,309.2,1564,39,26,0,0
2095,65432149274,654321,299.4,309.3,1377,43.6,28,0,0
2096,65432149275,654321,299.4,309.3,1525,41.5,30,0,0
2097,78912316956,789123,299.5,309.4,1387,56.2,32,0,0
2098,78912316957,789123,299.4,309.4,1326,47.5,35,0,0
2099,65432149278,654321,299.4,309.3,1401,59,38,0,0
2100,65432149279,654321,299.4,309.3,1596,31.8,40,0,0
2101,78912316960,789123,299.3,309.3,1471,46,42,0,0
2102,65432149281,654321,299.3,309.3,1528,37.8,45,0,0
2103,65432149282,654321,299.3,309.3,1325,62,47,0,0
2104,78912316963,789123,299.3,309.1,1376,46.7,49,0,0
2105,78912316964,789123,299.3,309.1,1600,35.3,52,0,0
2106,65432149285,654321,299.3,309.1,1495,44,55,0,0
2107,65432149286,654321,299.4,309.1,1645,28.6,57,0,0
2108,78912316967,789123,299.4,309.1,1417,47.3,59,0,0
2109,12345631522,123456,299.4,309,1415,51.7,62,0,0
2110,78912316969,789123,299.3,309,1496,43.4,67,0,0
2111,12345631524,123456,299.3,309,1508,35,70,0,0
2112,65432149291,654321,299.4,309,1436,47.9,75,0,0
2113,65432149292,654321,299.5,309.1,1852,22.6,77,0,0
2114,65432149293,654321,299.5,309.1,1863,22.5,79,0,0
2115,12345631528,123456,299.4,309.1,1373,44.1,81,0,0
2116,65432149295,654321,299.4,309,1404,47.3,86,0,0
2117,78912316976,789123,299.4,309,1381,44.9,88,0,0
2118,12345631531,123456,299.4,308.9,1762,29.3,91,0,0
2119,12345631532,123456,299.3,308.9,1429,43,96,0,0
2120,78912316979,789123,299.3,308.9,1858,24.7,101,0,0
2121,12345631534,123456,299.2,308.8,1908,21.3,104,0,0
2122,78912316981,789123,299.2,308.8,1503,37.4,109,0,0
2123,78912316982,789123,299.2,308.8,1523,38.9,112,0,0
2124,65432149303,654321,299.3,309,1491,38.4,115,0,0
2125,65432149304,654321,299.2,308.9,1430,39.1,117,0,0
2126,65432149305,654321,299.3,308.9,1258,69.4,119,1,1
2127,65432149306,654321,299.3,309,1449,46.5,121,0,0
2128,12345631541,123456,299.3,309,1425,40.6,123,0,0
2129,65432149308,654321,299.4,309,1800,24.3,128,0,0
2130,12345631543,123456,299.4,309,1607,33.7,130,0,0
2131,65432149310,654321,299.4,309,1391,58.2,135,0,0
2132,65432149311,654321,299.4,309.1,1432,45.4,137,0,0
2133,65432149312,654321,299.4,309,1660,28.4,139,0,0
2134,12345631547,123456,299.3,309,1732,29.7,141,0,0
2135,65432149314,654321,299.3,309,1473,46.3,146,0,0
2136,65432149315,654321,299.3,309,1511,47.8,148,0,0
2137,65432149316,654321,299.2,308.9,1588,41.5,150,0,0
2138,65432149317,654321,299.3,308.9,1623,31.1,152,0,0
2139,65432149318,654321,299.3,309,1734,30.6,154,0,0
2140,65432149319,654321,299.3,309,1415,47.6,156,0,0
2141,65432149320,654321,299.3,309,1419,46.6,158,0,0
2142,78912317001,789123,299.3,308.9,1577,34.9,160,0,0
2143,65432149322,654321,299.3,308.9,1376,60.3,163,0,0
2144,78912317003,789123,299.3,308.8,1442,49,165,0,0
2145,65432149324,654321,299.4,308.9,1451,40.5,168,0,0
2146,65432149325,654321,299.3,308.8,1550,45.8,170,0,0
2147,65432149326,654321,299.3,308.8,1647,32.9,172,0,0
